"Affligem Blond",19.60 kr
"Affligem Dubbel",22.90 kr
"Amstel",17.50 kr
"Anchor Liberty Ale",21.00 kr
"Anchor Porter",26.00 kr
"Anchor Steam",22.00 kr
"Asahi Super Dry",28.00 kr
"Bitburger Premium",17.00 kr
"Brooklyn Brown Ale",24.50 kr
"Brooklyn Lager",24.50 kr
"Brooklyn east india pale ale",27.50 kr
"Budvar",15.80 kr
"Budweiser",16.70 kr
"Circle Master",29.50 kr
"Coopers Extra Stout",21.00 kr
"Coopers Pale Ale",23.00 kr
"Coopers Sparkling Ale",23.00 kr
"Corona",23.50 kr
"Cruzcampo",19.00 kr
"Duvel",28.50 kr
"Estrella Damm",18.00 kr
"Grolsch",19.60 kr
"Guinness Stout",23.00 kr
"Heaven",36.00 kr
"Heineken",16.80 kr
"Hell",35.50 kr
"Hobgoblin",30.00 kr
"Hoegarden",23.00 kr
"Hop Ottin' IPA",31.00 kr
"Jämtlands Pilgrim",30.00 kr
"Kilkenny",21.20 kr
"Krusovice Imperial",15.80 kr
"Lapin Kulta",14.15 kr
"La Trappe Blonde",28.50 kr
"La Trappe Dubbel",28.50 kr
"La Trappe Tripel",28.00 kr
"La Trappe Quadrupel",33.90 kr
"Leffe Blond",26.50 kr
"Leffe Brune",27.60 kr
"Leo",14.00 kr
"Lindemans Apple",18.50 kr
"Liefmans Rasp.",22.50 kr
"Maredsous Blond",23.00 kr
"Maredsous Brune",28.00 kr
"Maredsous Trippel",35.00 kr
"Mariestads Export",16.00 kr
"Mariestads julbrygd",
"Mariestads Porter",20.80 kr
"Mariestads Prima Lager",19.70 kr
"Miller Genuine Draft",18.50 kr
"Murphys Irish Red",19.00 kr
"Newcastle Brown Ale",20.30 kr
"Norrlands Guld Export",13.30 kr
"Norrlands julöl",
"Old Gold",17.10 kr
"Oxford  Gold Organic",17.20 kr
"Pelforth Blonde",19.50 kr
"Pelforth Brune",20.30 kr
"Peroni Nastro Azzurro",16.10 kr
"Pistonhead",14.50 kr
"Pistonhead Jul",17.00 kr
"Pilsner Urquell",17.00 kr
"Punk IPA",27.50 kr
"Red Stripe",17.80 kr
"Rochefort 8",
"Samuel Adams Black Lager",20.50 kr
"Samuel Adams Boston Ale",20.20 kr
"Samuel Adams Boston Lager",19.50 kr
"Samuel Adams Cream Stout",20.80 kr
"Samuel Adams Honey Porter",21.00 kr
"Samuel Adams Noble Pils",22.00 kr
"Samuel Adams Octoberfest",21.30 kr
"Samuel Adams Summer Ale",20.00 kr
"Samuel Adams Winter Lager",19.00 kr
"Sol",19.40 kr
"Spendrups Export",12.80 kr
"Spendrups Mellanöl 4,2 33 cl",10.80 kr
"Spendrups Julbrygd",12.50 kr
"St Peter´s Cream Stout",39.00 kr
"St Peter´s IPA",38.50 kr
"Starobrno",18.50 kr
"Staropramen",23.80 kr
"Staropramen Dark",24.00 kr
"Staropramen Granat",24.00 kr
"Stella Artois",22.00 kr
"Three Towns",14.40 kr
"Tiger Beer",20.50 kr
"Timmermans Kriek",19.50 kr
"Titan IPA",35.00 kr
"Trashy Blonde",25.00 kr
"Tripel Karmeliet",
"Vedett Extra White",23.00 kr
"Weihenstephaner Pilsner",21.10 kr
"Westmalle Dubel",27.00 kr
"Westmalle Tripel",29.00 kr
"Wisby Julbrygd",27.00 kr
"Wisby Kloster öl",20.00 kr
"Wisby Red October",20.00 kr
"Wisby Sleepy Bulldog",20.00 kr
"Wisby Sleepy Bulldog Winter Ale",36.00 kr
"Wisby Pils",16.00 kr
"Yanjing Beer",
